,regions,tech,vintage,cost_invest,cost_invest_units,capacity,capacity units
184,CA,C_LT_HALST_RFL_N,2040,81.04338192631272,M$/giga lumens,1.35e-06,giga lumens
185,CA,C_LT_HALST_RFL_N,2045,81.04338192631272,M$/giga lumens,1.35e-06,giga lumens
186,CA,C_LT_HALST_RFL_N,2050,81.04338192631272,M$/giga lumens,1.35e-06,giga lumens
188,CA,C_LT_HIRST_RFL_N,2020,79.58504350412129,M$/giga lumens,1.4530000000000001e-06,giga lumens
189,CA,C_LT_HIRST_RFL_N,2025,79.58504350412129,M$/giga lumens,1.4530000000000001e-06,giga lumens
190,CA,C_LT_HIRST_RFL_N,2030,78.52043138779224,M$/giga lumens,1.4530000000000001e-06,giga lumens
191,CA,C_LT_HIRST_RFL_N,2035,78.52043138779224,M$/giga lumens,1.4530000000000001e-06,giga lumens
192,CA,C_LT_HIRST_RFL_N,2040,77.50517215102812,M$/giga lumens,1.4530000000000001e-06,giga lumens
193,CA,C_LT_HIRST_RFL_N,2045,77.50517215102812,M$/giga lumens,1.4530000000000001e-06,giga lumens
194,CA,C_LT_HIRST_RFL_N,2050,77.50517215102812,M$/giga lumens,1.4530000000000001e-06,giga lumens
196,CA,C_LT_LEDHE_GSL_N,2020,9.808867187499999,M$/giga lumens,1.6000000000000001e-06,giga lumens
197,CA,C_LT_LEDHE_GSL_N,2025,9.808867187499999,M$/giga lumens,1.6000000000000001e-06,giga lumens
198,CA,C_LT_LEDHE_GSL_N,2030,6.281004380507505,M$/giga lumens,1.6000000000000001e-06,giga lumens
199,CA,C_LT_LEDHE_GSL_N,2035,6.281004380507505,M$/giga lumens,1.6000000000000001e-06,giga lumens
200,CA,C_LT_LEDHE_GSL_N,2040,5.064499964303198,M$/giga lumens,1.6000000000000001e-06,giga lumens
201,CA,C_LT_LEDHE_GSL_N,2045,5.064499964303198,M$/giga lumens,1.6000000000000001e-06,giga lumens
202,CA,C_LT_LEDHE_GSL_N,2050,5.064499964303198,M$/giga lumens,1.6000000000000001e-06,giga lumens
203,CA,C_LT_LEDHE_LFL_N,2020,24.298379938300382,M$/giga lumens,2.1000000000000002e-06,giga lumens
204,CA,C_LT_LEDHE_LFL_N,2025,24.298379938300382,M$/giga lumens,2.1000000000000002e-06,giga lumens
205,CA,C_LT_LEDHE_LFL_N,2030,18.288421278596292,M$/giga lumens,2.1000000000000002e-06,giga lumens
206,CA,C_LT_LEDHE_LFL_N,2035,18.288421278596292,M$/giga lumens,2.1000000000000002e-06,giga lumens
207,CA,C_LT_LEDHE_LFL_N,2040,15.532230821832647,M$/giga lumens,2.1000000000000002e-06,giga lumens
208,CA,C_LT_LEDHE_LFL_N,2045,15.532230821832647,M$/giga lumens,2.1000000000000002e-06,giga lumens
209,CA,C_LT_LEDHE_LFL_N,2050,15.532230821832647,M$/giga lumens,2.1000000000000002e-06,giga lumens
210,CA,C_LT_LEDHE_RFL_N,2020,16.31762314668034,M$/giga lumens,1.4000000000000001e-06,giga lumens
211,CA,C_LT_LEDHE_RFL_N,2025,16.31762314668034,M$/giga lumens,1.4000000000000001e-06,giga lumens
212,CA,C_LT_LEDHE_RFL_N,2030,10.85890257832898,M$/giga lumens,1.4000000000000001e-06,giga lumens
213,CA,C_LT_LEDHE_RFL_N,2035,10.85890257832898,M$/giga lumens,1.4000000000000001e-06,giga lumens
214,CA,C_LT_LEDHE_RFL_N,2040,7.78562826370757,M$/giga lumens,1.4000000000000001e-06,giga lumens
215,CA,C_LT_LEDHE_RFL_N,2045,7.78562826370757,M$/giga lumens,1.4000000000000001e-06,giga lumens
216,CA,C_LT_LEDHE_RFL_N,2050,7.78562826370757,M$/giga lumens,1.4000000000000001e-06,giga lumens
217,CA,C_LT_LEDST_GSL_N,2020,9.808867187499999,M$/giga lumens,1.6000000000000001e-06,giga lumens
218,CA,C_LT_LEDST_GSL_N,2025,9.808867187499999,M$/giga lumens,1.6000000000000001e-06,giga lumens
219,CA,C_LT_LEDST_GSL_N,2030,6.281004380507505,M$/giga lumens,1.6000000000000001e-06,giga lumens
220,CA,C_LT_LEDST_GSL_N,2035,6.281004380507505,M$/giga lumens,1.6000000000000001e-06,giga lumens
221,CA,C_LT_LEDST_GSL_N,2040,5.064499964303198,M$/giga lumens,1.6000000000000001e-06,giga lumens
222,CA,C_LT_LEDST_GSL_N,2045,5.064499964303198,M$/giga lumens,1.6000000000000001e-06,giga lumens
223,CA,C_LT_LEDST_GSL_N,2050,5.064499964303198,M$/giga lumens,1.6000000000000001e-06,giga lumens
224,CA,C_LT_LEDST_LFL_N,2020,24.298379938300382,M$/giga lumens,2.1000000000000002e-06,giga lumens
225,CA,C_LT_LEDST_LFL_N,2025,24.298379938300382,M$/giga lumens,2.1000000000000002e-06,giga lumens
226,CA,C_LT_LEDST_LFL_N,2030,18.288421278596292,M$/giga lumens,2.1000000000000002e-06,giga lumens
227,CA,C_LT_LEDST_LFL_N,2035,18.288421278596292,M$/giga lumens,2.1000000000000002e-06,giga lumens
228,CA,C_LT_LEDST_LFL_N,2040,15.532230821832647,M$/giga lumens,2.1000000000000002e-06,giga lumens
229,CA,C_LT_LEDST_LFL_N,2045,15.532230821832647,M$/giga lumens,2.1000000000000002e-06,giga lumens
230,CA,C_LT_LEDST_LFL_N,2050,15.532230821832647,M$/giga lumens,2.1000000000000002e-06,giga lumens
231,CA,C_LT_LEDST_RFL_N,2020,16.31762314668034,M$/giga lumens,1.4000000000000001e-06,giga lumens
232,CA,C_LT_LEDST_RFL_N,2025,16.31762314668034,M$/giga lumens,1.4000000000000001e-06,giga lumens
233,CA,C_LT_LEDST_RFL_N,2030,10.85890257832898,M$/giga lumens,1.4000000000000001e-06,giga lumens
234,CA,C_LT_LEDST_RFL_N,2035,10.85890257832898,M$/giga lumens,1.4000000000000001e-06,giga lumens
235,CA,C_LT_LEDST_RFL_N,2040,7.78562826370757,M$/giga lumens,1.4000000000000001e-06,giga lumens
236,CA,C_LT_LEDST_RFL_N,2045,7.78562826370757,M$/giga lumens,1.4000000000000001e-06,giga lumens
237,CA,C_LT_LEDST_RFL_N,2050,7.78562826370757,M$/giga lumens,1.4000000000000001e-06,giga lumens
238,CA,C_LT_LUMHE_HB_N,2020,31.48505508781413,M$/giga lumens,1.6000000000000003e-05,giga lumens
239,CA,C_LT_LUMHE_HB_N,2025,31.48505508781413,M$/giga lumens,1.6000000000000003e-05,giga lumens
240,CA,C_LT_LUMHE_HB_N,2030,19.837345435398984,M$/giga lumens,1.6000000000000003e-05,giga lumens
241,CA,C_LT_LUMHE_HB_N,2035,19.837345435398984,M$/giga lumens,1.6000000000000003e-05,giga lumens
242,CA,C_LT_LUMHE_HB_N,2040,13.647258753365696,M$/giga lumens,1.6000000000000003e-05,giga lumens
243,CA,C_LT_LUMHE_HB_N,2045,13.647258753365696,M$/giga lumens,1.6000000000000003e-05,giga lumens
244,CA,C_LT_LUMHE_HB_N,2050,13.647258753365696,M$/giga lumens,1.6000000000000003e-05,giga lumens
245,CA,C_LT_LUMHE_LB_N,2020,40.00378732865535,M$/giga lumens,7.000000000000001e-06,giga lumens
246,CA,C_LT_LUMHE_LB_N,2025,40.00378732865535,M$/giga lumens,7.000000000000001e-06,giga lumens
247,CA,C_LT_LUMHE_LB_N,2030,28.356077676240204,M$/giga lumens,7.000000000000001e-06,giga lumens
