,regions,tech,vintage,tech_rate,tech_rate_notes
392,CA,C_LT_LUMHE_LFL_N,2030,0.3,nan
393,CA,C_LT_LUMST_HB_N,2030,0.3,nan
394,CA,C_LT_LUMST_LB_N,2030,0.3,nan
395,CA,C_LT_LUMST_LFL_N,2030,0.3,nan
396,CA,C_LT_MERCST_HB_N,2030,0.3,nan
397,CA,C_LT_MERCST_LB_N,2030,0.3,nan
398,CA,C_LT_MTHALST_HB_N,2030,0.3,nan
399,CA,C_LT_MTHALST_LB_N,2030,0.3,nan
400,CA,C_LT_NAVAPST_HB_N,2030,0.3,nan
401,CA,C_LT_NAVAPST_LB_N,2030,0.3,nan
402,CA,C_LT_T5HE_LFL_N,2030,0.3,nan
403,CA,C_LT_T5HOHE_HB_N,2030,0.3,nan
404,CA,C_LT_T5HOST_HB_N,2030,0.3,nan
405,CA,C_LT_T5ST_LFL_N,2030,0.3,nan
406,CA,C_LT_T8HE_LFL_N,2030,0.3,nan
407,CA,C_LT_T8ST_LFL_N,2030,0.3,nan
411,CA,C_RF_BVMHE_ELC_N,2030,0.3,nan
412,CA,C_RF_BVMST_ELC_N,2030,0.3,nan
413,CA,C_RF_CENHE_ELC_N,2030,0.3,nan
414,CA,C_RF_CENST_ELC_N,2030,0.3,nan
415,CA,C_RF_CMPHE_ELC_N,2030,0.3,nan
416,CA,C_RF_CMPST_ELC_N,2030,0.3,nan
417,CA,C_RF_CNDHE_ELC_N,2030,0.3,nan
418,CA,C_RF_CNDST_ELC_N,2030,0.3,nan
419,CA,C_RF_ICMHE_ELC_N,2030,0.3,nan
420,CA,C_RF_ICMST_ELC_N,2030,0.3,nan
421,CA,C_RF_RIFHE_ELC_N,2030,0.3,nan
422,CA,C_RF_RIFST_ELC_N,2030,0.3,nan
423,CA,C_RF_RIRHE_ELC_N,2030,0.3,nan
424,CA,C_RF_RIRST_ELC_N,2030,0.3,nan
425,CA,C_RF_RVMHE_ELC_N,2030,0.3,nan
426,CA,C_RF_RVMST_ELC_N,2030,0.3,nan
427,CA,C_RF_WIFHE_ELC_N,2030,0.3,nan
428,CA,C_RF_WIFST_ELC_N,2030,0.3,nan
429,CA,C_RF_WIRHE_ELC_N,2030,0.3,nan
430,CA,C_RF_WIRST_ELC_N,2030,0.3,nan
431,CA,C_SC_CCCHE_ELC_N,2030,0.3,nan
432,CA,C_SC_CCCST_ELC_N,2030,0.3,nan
433,CA,C_SC_CHA_NGA_N,2030,0.3,nan
434,CA,C_SC_CHEDAHE_N,2030,0.3,nan
435,CA,C_SC_CRCHE_ELC_N,2030,0.3,nan
436,CA,C_SC_CRCST_ELC_N,2030,0.3,nan
437,CA,C_SC_CSCHE_ELC_N,2030,0.3,nan
438,CA,C_SC_CSCST_ELC_N,2030,0.3,nan
439,CA,C_SC_CSWHE_ELC_N,2030,0.3,nan
440,CA,C_SC_CSWST_ELC_N,2030,0.3,nan
441,CA,C_SC_RACHE_ELC_N,2030,0.3,nan
442,CA,C_SC_RACST_ELC_N,2030,0.3,nan
443,CA,C_SC_RACST_NGA_N,2030,0.3,nan
444,CA,C_SH_BHE_DISTOIL_N,2030,0.3,nan
445,CA,C_SH_BHE_NGA_N,2030,0.3,nan
446,CA,C_SH_BST_DISTOIL_N,2030,0.3,nan
447,CA,C_SH_BST_ELC_N,2030,0.3,nan
448,CA,C_SH_BST_NGA_N,2030,0.3,nan
449,CA,C_SH_ERST_ELC_N,2030,0.3,nan
450,CA,C_SH_FHE_NGA_N,2030,0.3,nan
451,CA,C_SH_FST_DISTOIL_N,2030,0.3,nan
452,CA,C_SH_FST_NGA_N,2030,0.3,nan
453,CA,C_VT_CAVHE_ELC_N,2030,0.3,nan
454,CA,C_VT_CAVST_ELC_N,2030,0.3,nan
455,CA,C_VT_VAVHE_ELC_N,2030,0.3,nan
