,periods,regions,tech,vintage,cost_fixed,cost_fixed_units,capacity,capacity_units,lifetime
346,2025,CA,C_LT_8FTT8ST_LFL_N,2020,0.7592303341888964,M$/giga lumens,9.553e-06,giga lumens,6.0
347,2025,CA,C_LT_8FTT8ST_LFL_N,2025,0.7592303341888964,M$/giga lumens,9.553e-06,giga lumens,6.0
348,2030,CA,C_LT_8FTT8ST_LFL_N,2025,0.7592303341888964,M$/giga lumens,9.553e-06,giga lumens,6.0
349,2030,CA,C_LT_8FTT8ST_LFL_N,2030,0.7023952950476371,M$/giga lumens,9.553e-06,giga lumens,6.0
350,2035,CA,C_LT_8FTT8ST_LFL_N,2030,0.7023952950476371,M$/giga lumens,9.553e-06,giga lumens,6.0
351,2035,CA,C_LT_8FTT8ST_LFL_N,2035,0.7023952950476371,M$/giga lumens,9.553e-06,giga lumens,6.0
352,2040,CA,C_LT_8FTT8ST_LFL_N,2035,0.7023952950476371,M$/giga lumens,9.553e-06,giga lumens,6.0
353,2040,CA,C_LT_8FTT8ST_LFL_N,2040,0.6509220520517798,M$/giga lumens,9.553e-06,giga lumens,6.0
354,2045,CA,C_LT_8FTT8ST_LFL_N,2040,0.6509220520517798,M$/giga lumens,9.553e-06,giga lumens,6.0
355,2045,CA,C_LT_8FTT8ST_LFL_N,2045,0.6509220520517798,M$/giga lumens,9.553e-06,giga lumens,6.0
356,2050,CA,C_LT_8FTT8ST_LFL_N,2045,0.6509220520517798,M$/giga lumens,9.553e-06,giga lumens,6.0
357,2050,CA,C_LT_8FTT8ST_LFL_N,2050,0.6509220520517798,M$/giga lumens,9.553e-06,giga lumens,6.0
358,2019,CA,C_LT_8FTT8_LFL_R,2019,0.8056177024286294,M$/giga lumens,9.448e-06,giga lumens,6.0
359,2020,CA,C_LT_8FTT8_LFL_R,2019,0.8056177024286294,M$/giga lumens,9.448e-06,giga lumens,6.0
361,2020,CA,C_LT_CFLHE_GSL_N,2020,1.7677573801582498,M$/giga lumens,1.6400000000000002e-06,giga lumens,3.0
362,2025,CA,C_LT_CFLHE_GSL_N,2025,1.7677573801582498,M$/giga lumens,1.6400000000000002e-06,giga lumens,3.0
363,2030,CA,C_LT_CFLHE_GSL_N,2030,1.6428275299703874,M$/giga lumens,1.6400000000000002e-06,giga lumens,3.0
364,2035,CA,C_LT_CFLHE_GSL_N,2035,1.6428275299703874,M$/giga lumens,1.6400000000000002e-06,giga lumens,3.0
365,2040,CA,C_LT_CFLHE_GSL_N,2040,1.530390664801312,M$/giga lumens,1.6400000000000002e-06,giga lumens,3.0
366,2045,CA,C_LT_CFLHE_GSL_N,2045,1.530390664801312,M$/giga lumens,1.6400000000000002e-06,giga lumens,3.0
367,2050,CA,C_LT_CFLHE_GSL_N,2050,1.530390664801312,M$/giga lumens,1.6400000000000002e-06,giga lumens,3.0
368,2020,CA,C_LT_CFLST_GSL_N,2020,1.7614255848337066,M$/giga lumens,1.6110000000000001e-06,giga lumens,3.0
369,2025,CA,C_LT_CFLST_GSL_N,2025,1.7614255848337066,M$/giga lumens,1.6110000000000001e-06,giga lumens,3.0
370,2030,CA,C_LT_CFLST_GSL_N,2030,1.640605779375799,M$/giga lumens,1.6110000000000001e-06,giga lumens,3.0
371,2035,CA,C_LT_CFLST_GSL_N,2035,1.640605779375799,M$/giga lumens,1.6110000000000001e-06,giga lumens,3.0
372,2040,CA,C_LT_CFLST_GSL_N,2040,1.526144911047255,M$/giga lumens,1.6110000000000001e-06,giga lumens,3.0
373,2045,CA,C_LT_CFLST_GSL_N,2045,1.526144911047255,M$/giga lumens,1.6110000000000001e-06,giga lumens,3.0
374,2050,CA,C_LT_CFLST_GSL_N,2050,1.526144911047255,M$/giga lumens,1.6110000000000001e-06,giga lumens,3.0
375,2019,CA,C_LT_CFL_GSL_R,2019,1.5244416243161754,M$/giga lumens,1.68e-06,giga lumens,3.0
376,2020,CA,C_LT_CFL_GSL_R,2019,1.5244416243161754,M$/giga lumens,1.68e-06,giga lumens,3.0
377,2020,CA,C_LT_HALST_RFL_N,2020,12.513158876075812,M$/giga lumens,1.35e-06,giga lumens,2.0
378,2025,CA,C_LT_HALST_RFL_N,2025,12.513158876075812,M$/giga lumens,1.35e-06,giga lumens,2.0
379,2030,CA,C_LT_HALST_RFL_N,2030,11.60255907915095,M$/giga lumens,1.35e-06,giga lumens,2.0
380,2035,CA,C_LT_HALST_RFL_N,2035,11.60255907915095,M$/giga lumens,1.35e-06,giga lumens,2.0
381,2040,CA,C_LT_HALST_RFL_N,2040,10.760254266995455,M$/giga lumens,1.35e-06,giga lumens,2.0
382,2045,CA,C_LT_HALST_RFL_N,2045,10.760254266995455,M$/giga lumens,1.35e-06,giga lumens,2.0
383,2050,CA,C_LT_HALST_RFL_N,2050,10.760254266995455,M$/giga lumens,1.35e-06,giga lumens,2.0
384,2019,CA,C_LT_HAL_RFL_R,2019,10.615921101904643,M$/giga lumens,1.323e-06,giga lumens,2.0
385,2020,CA,C_LT_HAL_RFL_R,2019,10.615921101904643,M$/giga lumens,1.323e-06,giga lumens,2.0
386,2020,CA,C_LT_HIRST_RFL_N,2020,8.432291994235388,M$/giga lumens,1.4530000000000001e-06,giga lumens,2.0
